ambito_nombre_x,embalse_nombre,volumen_medio_10,ambito_nombre_y,porcentaje_medio_10,ambito_nombre,provincia
Júcar,contreras,234.28966789667896,Júcar,38.1610147601476,Júcar,Valencia
Júcar,cortes ii,107.6309963099631,Júcar,91.21357933579336,Júcar,Valencia
Júcar,el naranjero,20.79889298892989,Júcar,71.72071955719557,Júcar,Valencia
Júcar,escalona,4.990774907749078,Júcar,5.040682656826568,Júcar,Valencia
Júcar,forata,9.771217712177123,Júcar,26.409428044280443,Júcar,Valencia
Júcar,guadalest,7.143911439114391,Júcar,54.95392988929889,Júcar,Alicante
Júcar,la muela,11.457564575645756,Júcar,57.28782287822878,Júcar,Valencia
Júcar,la toba,5.27859778597786,Júcar,52.7859778597786,Júcar,Cuenca
Júcar,loriguilla,22.0,Júcar,30.139446494464945,Júcar,Valencia
Júcar,maría cristina,5.402214022140221,Júcar,30.01308118081181,Júcar,Castellón
Júcar,regajo,3.8284132841328415,Júcar,63.80623616236163,Júcar,Castellón
Júcar,sichar,33.51291512915129,Júcar,68.39367158671587,Júcar,Castellón
Júcar,tous - la ribera,109.8210332103321,Júcar,28.98583025830258,Júcar,Valencia
Júcar,ulldecona,5.627306273062731,Júcar,51.15787822878229,Júcar,Castellón
Miño - Sil,albarellos,39.101476014760145,Miño - Sil,42.968597785977856,Miño - Sil,Orense
Miño - Sil,bao,171.56457564575646,Miño - Sil,72.08599630996311,Miño - Sil,Orense
