ambito_nombre,embalse_nombre,mes,2020,2021,media_5,media_10
Cuenca Mediterránea Andaluza,Béznar,10,39.125,38.5,36.05,36.575
Cuenca Mediterránea Andaluza,Béznar,11,37.77777777777778,37.0,35.5,36.745
Cuenca Mediterránea Andaluza,Béznar,12,37.333333333333336,35.5,36.160000000000004,37.595
Cuenca Mediterránea Andaluza,Casasola,1,11.5,11.375,10.9,11.15
Cuenca Mediterránea Andaluza,Casasola,2,12.333333333333334,11.5,11.5,11.425
Cuenca Mediterránea Andaluza,Casasola,3,11.866666666666667,11.3,12.26,12.245000000000001
Cuenca Mediterránea Andaluza,Casasola,4,13.333333333333334,12.5,13.02,12.6
Cuenca Mediterránea Andaluza,Casasola,5,14.0,12.428571428571429,13.91,12.959999999999999
Cuenca Mediterránea Andaluza,Casasola,6,14.4,12.0,14.01,12.88
Cuenca Mediterránea Andaluza,Casasola,7,14.0,12.0,13.6,12.375
Cuenca Mediterránea Andaluza,Casasola,8,13.444444444444445,11.4,13.24,11.945
Cuenca Mediterránea Andaluza,Casasola,9,13.555555555555555,11.0,13.169999999999998,11.745000000000001
Cuenca Mediterránea Andaluza,Casasola,10,12.5,11.0,12.6,11.14
Cuenca Mediterránea Andaluza,Casasola,11,11.222222222222221,10.2,12.040000000000001,11.145
Cuenca Mediterránea Andaluza,Casasola,12,11.11111111111111,10.0,10.75,10.395
Cuenca Mediterránea Andaluza,Charco Redondo,1,23.0,17.0,34.269999999999996,42.864999999999995
Cuenca Mediterránea Andaluza,Charco Redondo,2,24.0,19.125,34.5,43.65
Cuenca Mediterránea Andaluza,Charco Redondo,3,27.333333333333332,25.4,40.88,48.56
Cuenca Mediterránea Andaluza,Charco Redondo,4,33.0,34.375,44.25,51.635000000000005
Cuenca Mediterránea Andaluza,Charco Redondo,5,32.90909090909091,34.714285714285715,44.839999999999996,51.635000000000005
Cuenca Mediterránea Andaluza,Charco Redondo,6,30.4,31.0,44.160000000000004,50.614999999999995
Cuenca Mediterránea Andaluza,Charco Redondo,7,28.875,29.5,42.79,48.68
Cuenca Mediterránea Andaluza,Charco Redondo,8,24.444444444444443,24.4,38.83,44.54
Cuenca Mediterránea Andaluza,Charco Redondo,9,20.444444444444443,21.0,34.8,40.96
Cuenca Mediterránea Andaluza,Charco Redondo,10,18.75,21.0,32.78,39.045
Cuenca Mediterránea Andaluza,Charco Redondo,11,17.88888888888889,20.6,32.42,38.975
Cuenca Mediterránea Andaluza,Charco Redondo,12,16.444444444444443,18.5,31.8,39.87
Cuenca Mediterránea Andaluza,Concepción,1,33.166666666666664,33.5,43.07,43.905
Cuenca Mediterránea Andaluza,Concepción,2,40.166666666666664,37.0,47.35,46.7
Cuenca Mediterránea Andaluza,Concepción,3,44.46666666666667,42.4,53.6,50.505
Cuenca Mediterránea Andaluza,Concepción,4,56.916666666666664,57.5,57.05,53.06
Cuenca Mediterránea Andaluza,Concepción,5,58.27272727272727,58.42857142857143,57.120000000000005,54.14
Cuenca Mediterránea Andaluza,Concepción,6,56.3,54.0,54.67,52.614999999999995
Cuenca Mediterránea Andaluza,Concepción,7,51.5,48.5,49.42,47.54
Cuenca Mediterránea Andaluza,Concepción,8,45.22222222222222,42.2,43.31,41.485
Cuenca Mediterránea Andaluza,Concepción,9,40.333333333333336,36.75,37.989999999999995,36.04
Cuenca Mediterránea Andaluza,Concepción,10,35.625,32.75,34.21,32.515
Cuenca Mediterránea Andaluza,Concepción,11,32.55555555555556,29.2,34.089999999999996,34.75
Cuenca Mediterránea Andaluza,Concepción,12,31.666666666666668,26.25,34.4,39.1
Cuenca Mediterránea Andaluza,Conde Guadalhorce,1,33.25,27.0,38.83,42.47
Cuenca Mediterránea Andaluza,Conde Guadalhorce,2,35.833333333333336,29.25,41.4,44.55
Cuenca Mediterránea Andaluza,Conde Guadalhorce,3,40.4,35.5,47.3,48.385000000000005
Cuenca Mediterránea Andaluza,Conde Guadalhorce,4,54.416666666666664,54.875,51.12,50.644999999999996
Cuenca Mediterránea Andaluza,Conde Guadalhorce,5,54.72727272727273,54.285714285714285,51.379999999999995,50.665
Cuenca Mediterránea Andaluza,Conde Guadalhorce,6,49.1,43.2,48.339999999999996,48.345
Cuenca Mediterránea Andaluza,Conde Guadalhorce,7,45.625,40.25,44.36,44.17
Cuenca Mediterránea Andaluza,Conde Guadalhorce,8,39.77777777777778,35.4,38.08,39.910000000000004
Cuenca Mediterránea Andaluza,Conde Guadalhorce,9,33.111111111111114,25.75,31.55,34.89
Cuenca Mediterránea Andaluza,Conde Guadalhorce,10,26.875,19.75,29.55,32.685
Cuenca Mediterránea Andaluza,Conde Guadalhorce,11,23.666666666666668,17.0,32.3,35.394999999999996
Cuenca Mediterránea Andaluza,Conde Guadalhorce,12,25.555555555555557,16.0,33.739999999999995,38.22
Cuenca Mediterránea Andaluza,Cuevas de Almanzora,1,16.666666666666668,13.5,16.16,19.53
Cuenca Mediterránea Andaluza,Cuevas de Almanzora,2,17.5,13.0,17.5,19.85
Cuenca Mediterránea Andaluza,Cuevas de Almanzora,3,19.066666666666666,14.6,18.2,20.0
Cuenca Mediterránea Andaluza,Cuevas de Almanzora,4,27.833333333333332,26.0,19.69,20.565
Cuenca Mediterránea Andaluza,Cuevas de Almanzora,5,30.727272727272727,29.428571428571427,20.55,20.830000000000002
Cuenca Mediterránea Andaluza,Cuevas de Almanzora,6,26.2,21.6,19.580000000000002,19.765
Cuenca Mediterránea Andaluza,Cuevas de Almanzora,7,25.5,22.25,18.75,19.445
Cuenca Mediterránea Andaluza,Cuevas de Almanzora,8,23.22222222222222,19.8,17.64,17.744999999999997
Cuenca Mediterránea Andaluza,Cuevas de Almanzora,9,21.555555555555557,18.0,16.93,17.244999999999997
Cuenca Mediterránea Andaluza,Cuevas de Almanzora,10,19.375,17.0,16.869999999999997,20.725
Cuenca Mediterránea Andaluza,Cuevas de Almanzora,11,16.666666666666668,14.8,15.209999999999999,19.39
Cuenca Mediterránea Andaluza,Cuevas de Almanzora,12,14.777777777777779,13.0,14.38,19.009999999999998
Cuenca Mediterránea Andaluza,Guadalhorce-Guadalteba,1,169.58333333333334,152.25,176.2,203.175
Cuenca Mediterránea Andaluza,Guadalhorce-Guadalteba,2,173.66666666666666,155.125,180.7,206.625
Cuenca Mediterránea Andaluza,Guadalhorce-Guadalteba,3,172.0,152.4,189.17000000000002,213.695
Cuenca Mediterránea Andaluza,Guadalhorce-Guadalteba,4,179.75,161.625,196.85,218.16500000000002
Cuenca Mediterránea Andaluza,Guadalhorce-Guadalteba,5,185.0909090909091,165.71428571428572,198.43,217.465
Cuenca Mediterránea Andaluza,Guadalhorce-Guadalteba,6,188.7,166.6,191.63,210.945
Cuenca Mediterránea Andaluza,Guadalhorce-Guadalteba,7,176.75,155.25,181.67000000000002,200.995
Cuenca Mediterránea Andaluza,Guadalhorce-Guadalteba,8,163.66666666666666,143.6,172.24,191.125
Cuenca Mediterránea Andaluza,Guadalhorce-Guadalteba,9,160.88888888888889,138.75,165.42000000000002,182.6
Cuenca Mediterránea Andaluza,Guadalhorce-Guadalteba,10,152.25,133.75,164.1,181.33499999999998
Cuenca Mediterránea Andaluza,Guadalhorce-Guadalteba,11,147.11111111111111,127.4,169.28,185.45
Cuenca Mediterránea Andaluza,Guadalhorce-Guadalteba,12,152.22222222222223,122.0,171.62,188.025
Cuenca Mediterránea Andaluza,Guadarranque,1,33.583333333333336,29.5,48.31,55.095000000000006
Cuenca Mediterránea Andaluza,Guadarranque,2,34.833333333333336,30.25,50.5,57.875
Cuenca Mediterránea Andaluza,Guadarranque,3,40.666666666666664,39.5,59.42999999999999,64.46000000000001
Cuenca Mediterránea Andaluza,Guadarranque,4,48.333333333333336,50.5,62.56,66.67
Cuenca Mediterránea Andaluza,Guadarranque,5,48.81818181818182,51.857142857142854,62.15,65.795
Cuenca Mediterránea Andaluza,Guadarranque,6,43.8,47.8,58.370000000000005,62.279999999999994
Cuenca Mediterránea Andaluza,Guadarranque,7,39.0,42.75,53.160000000000004,57.515
Cuenca Mediterránea Andaluza,Guadarranque,8,36.55555555555556,40.2,49.65,53.86
Cuenca Mediterránea Andaluza,Guadarranque,9,33.22222222222222,37.25,47.15,50.81
Cuenca Mediterránea Andaluza,Guadarranque,10,30.5,33.5,43.72,47.335
Cuenca Mediterránea Andaluza,Guadarranque,11,28.0,29.8,41.260000000000005,46.655
Cuenca Mediterránea Andaluza,Guadarranque,12,26.0,28.5,41.0,49.71
Cuenca Mediterránea Andaluza,Limonero,1,11.083333333333334,11.375,10.93,10.485
Cuenca Mediterránea Andaluza,Limonero,2,11.666666666666666,11.5,11.45,10.7
Cuenca Mediterránea Andaluza,Limonero,3,11.733333333333333,11.6,12.55,11.375
Cuenca Mediterránea Andaluza,Limonero,4,12.916666666666666,12.375,13.35,12.055
Cuenca Mediterránea Andaluza,Limonero,5,12.909090909090908,12.285714285714286,13.319999999999999,11.735
Cuenca Mediterránea Andaluza,Limonero,6,12.9,12.0,12.959999999999999,11.504999999999999
Cuenca Mediterránea Andaluza,Limonero,7,13.0,12.0,12.73,11.205
Cuenca Mediterránea Andaluza,Limonero,8,12.444444444444445,11.6,12.22,10.61
Cuenca Mediterránea Andaluza,Limonero,9,12.11111111111111,11.0,12.0,10.35
Cuenca Mediterránea Andaluza,Limonero,10,11.875,11.0,11.91,10.115
Cuenca Mediterránea Andaluza,Limonero,11,11.444444444444445,11.0,11.3,10.035
Cuenca Mediterránea Andaluza,Limonero,12,11.222222222222221,10.25,11.25,10.275
Cuenca Mediterránea Andaluza,Rules,1,78.66666666666667,70.375,75.44,77.74
Cuenca Mediterránea Andaluza,Rules,2,79.08333333333333,70.125,76.6,78.95
Cuenca Mediterránea Andaluza,Rules,3,78.73333333333333,70.4,81.8,82.865
Cuenca Mediterránea Andaluza,Rules,4,82.91666666666667,76.5,87.7,86.565
